model,RMSE,MAE,R2,CV_RMSE
GradientBoosting,0.21983898569953805,0.1702701372804911,0.2733306456149498,0.22218125894051727
XGBoost,0.22163762221795555,0.16959899283647537,0.2613913549379233,0.21963790041435285
RandomForest,0.22299619838563275,0.17029275000000002,0.2523086771513784,0.22342713722511662
Ridge,0.22570792003138382,0.1755983837389967,0.23401366992089634,0.22555093463186568
